SI.NO.,ACCESS NO.,TITLE OF THE BOOK,,AUTHORS,PUBLICATION,,COST,
231,CS233,GATE /CSE,,D.P.Nagpal,S.Chand,,-,
232,CS234,Environmental Studies,,S.Ananthapadmanaban,,,,
233,CS235,Data And Computer Communications,,William Stallings,Prentice Hall India,,-,
234,CS236,Internet and World Wide Web,,"H.M. Deitel,P. J. Deitel,A.B. Goldberg",Pearson Education,,-,
235,CS237,Fundamentals of Data Structures,,"Ellis Horowitz,Sartaj Sahni",Galgotia,,-,
236,CS238,Fundamentals of Computing and Programming in C,,"Pradip Dey, Manas Ghosh",Oxford Higher Education,,-,
237,CS239,Computer Practice- I,,"T. Jeyapoovan, Sanjay Saxena",Vikas,,-,
238,CS240,Cryptography and network security,,William stallings,Pearson Education,,-,
239,CS241,An introduction to distributed and parallel computing,,Joel M.Crichlow,Prentice hall of india,,-,
240,CS242,An introduction to distributed and parallel computing,,Joel M.Crichlow,Prentice hall of india,,-,
241,CS243,Systems Programming,,John J.Donovan,Tata McGraw-Hill Publications,,-,
242,CS245,Robotics,,"K.S.Fu,R.C.Gonzalez,C.S.G.Lee",McGraw-Hill Edition,,-,
243,CS246,Internetworking With TCP/IP,,"Douglas E.Comer,David L.Stevens",Pearson Education,,-,
244,CS247,Distributed Systems,,"George Coulouris,Jean Dollimore",Pearson Education,,-,
245,CS248,System Software,,"Leland L.Beck,D.Manjula",Pearson Education,,-,
246,CS249,Programming C#,,Jesse Liberty,Shroff Publishers &Distributers,,-,
247,CS250,Digital Design,,M.Moris Mano,Prentice-Hall of India,,-,
248,CS251,Programming In C#,,E.Balagurusamy,McGraw-Hill Publications,,-,
249,CS252,Programming With Fortran 77,,"R.S.Dhaliwal,S.K.Agarwal,S.K.Gu pta",New Age International Publishers,,-,
250,CS253,Structured COBOL Programming,,"E. Rajasekar,S. Selvi",Anuradha,,-,
251,CS254,Theory and Problems of programming  with pascal,,Byron s. Gotterfried.,Tata McGraw-Hill Edition,,-,
252,CS255,Fundamentals of Database systems,,Elmasri/Navathe,TheBenjamin/Cummings Publishing company,,-,
253,CS256,Wireless Communications and Networks,,William Stallings,Pearson Education,,-,
254,CS257,Industrial Engineering and Production Management,,Martand Telsang,S. Chand,,-,
255,CS258,Electronic communications systems,,Wayne tomasi,Pearson Educations,,-,
256,CS259,Data Structures using C++,,Varsha H.Patil,Oxford university,,-,
257,CS260,Principles Of Compiler Design,,"Alfred V.Aho,Jeffrey D.Ullman",Narosa Publishing House,,-,
258,CS261,Principles Of Compiler Design,,"Alfred V.Aho,Jeffrey D.Ullman",Narosa Publishing House,,-,
259,CS262,Computer Lab Exercises,,"G. Muneeswari,R.S. Ponmagal",Dhanam,,-,
260,CS263,Programming& Data Structures-1,,"A.P.Godse,A.A.Puntambekar",Technical publications,,-,
261,CS264,An introduction to distributed and parallel computing,,Joel M. crichlow,Prentice-Hall of India,,-,
262,CS265,The unix programming environment,,"Brian w.kernighan,Rob pike",Prentice-Hall of India,,-,
263,CS266,How To Solve It By Computer,,R.G.Dromey,Prentice Hall of India,,-,
264,CS267,Internetworking With TCP/IP,,"Douglas E.Comer,David L.Stevens",Pearson Education,,-,
265,CS268,Java Network Programming,,Elliotte Rusty Harold,Shroff Publishers &Distributers,,-,
266,CS269,Computer Programming laboratory,,"T. Sheela kumar,S.S. Sridhar",Anuradha,,-,
267,CS270,Computer Programming laboratory,,"T. Sheela kumar,S.S. Sridhar",Anuradha,,-,
268,CS271,"Introduction to Automata theory, Languages, and Computation",,"John E. Hopcroft,Rajeev Motwani,Jeffrey D. Ullman",Pearson Education,,-,
269,CS272,Electronic Communications Systems,,Wayne Tomasi,Pearson Education,,-,
270,CS273,"Introduction to Automata Theory, Languages, and Computation",,"John. E. Hopcroft,Rajeev Motwani",Pearson,,-,
271,CS274,Fundamentals of computing and programming,,"V.Ramesh
Babu,R.Samyuktha,M.Muni Rathnam",VRM  Publishers Pvt Ltd,,-,
272,CS275,Computer Practice-I,,"V.Kannan,A.Abdul Namith,V.Cyril Raj,P.K.Jawahar",Dhanam Publications,,190,
273,CS276,Fundamental Of Computing,,T.Jeyapoovan,Vikas Publishing House Pvt Ltd,,195,
274,CS277,Computer Practice,,"T.Shella Kumar,S.S.Sridhar",Anuradha Agencies,,120,
275,CS278,Discrete Mathenatics with Graph Theory and combinatorics,,T.Veerarajan,Tata McGraw-Hill Edition,,-,
276,CS279,Discrete Mathenatics with Graph Theory and combinatorics,,T.Veerarajan,Tata McGraw-Hill Edition,,-,
277,CS280,Discrete Mathenatics with Graph Theory and combinatorics,,T.Veerarajan,Tata McGraw-Hill Edition,,-,
278,CS281,Discrete mathematical structures with applications to computer science,,"J.P Tremblay,R.Manohar",Tata McGraw-Hill Edition,,-,
279,CS282,Discrete Mathenatics for computer science,,"Gary Haggard,John Schlipf,Sue whitesides",Cengage learning,,-,
280,CS283,Discrete Mathenatics with Graph Theory and combinatorics,,T.Veerarajan,Tata McGraw-Hill Edition,,-,
281,CS284,Discrete Mathenatics with Graph Theory and combinatorics,,T.Veerarajan,Tata McGraw-Hill Edition,,-,
282,CS285,Discrete mathematical structures with applications to computer science,,"J.P Tremblay,R.Manohar",Tata McGraw-Hill Edition,,-,
283,CS286,Discrete Mathenatics with Graph Theory and combinatorics,,T.Veerarajan,Tata McGraw-Hill Edition,,-,
284,CS287,Computer Network,,Dr. N. Jayaprakash,Anuradha,,-,
285,CS289,Fundamentals of Database systems,,Elmasri/Navathe,Addison wesley,,-,
286,CS290,Programming In C#,,E.Balagurusamy,McGraw-Hill Publications,,-,
287,CS291,Computer basics and C,,V.Rajaraman,PHI Learning Pvt Ltd,,-,
288,CS292,Data Structures and Algorithm Analysis in C,,Mark Allen Weiss,Pearson Education,,-,
289,CS293,Computer Algorithms / C++,,"Ellis Horowitz, Sartaj Sahni",Universities Press,,-,
290,CS294,Digital Computer Fundamentals,,S. Poornachandra,Tata McGraw Hill,,-,
291,CS295,Computer Programming,,Ashok N.Kamthane,Pearson Educations,,-,
292,CS296,Programming in C#,,Barbara Doyle,Cengage learning,,-,
